solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 003, -001, NA, NA, 0, 0, 0.24, 0, NA, 0, 0, 0, 0.007, 0.247
kissat, 003, -001, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -001, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.019, 0.105
chuffed, 003, -002, NA, NA, 0, 0, 0.228, 0, NA, 0, 0, 0, 0.019, 0.247
kissat, 003, -002, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -002, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.016, 0.11
chuffed, 003, -003, NA, NA, 0, 0, 0.213, 0, NA, 0, 0, 0, 0.011, 0.224
kissat, 003, -003, 133, 0, 0, 0, 0.09, NA, 0, 0, 0, 0, 0.00, 0.09
or-tools, 003, -003, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.014, 0.107
chuffed, 003, -004, NA, NA, 0, 0, 0.399, 814, NA, 860, 1, 0, 0.038, 0.437
kissat, 003, -004, 16087, 1029, 0, 0, 0.19, NA, 0, 2356, 1, 0, 0.04, 0.23
or-tools, 003, -004, NA, NA, 0, 0, 0.134, 49, NA, NA, 1, 0, 0.053, 0.187
chuffed, 003, -005, NA, NA, 0, 0, 0.222, 0, NA, 0, 0, 0, 0.007, 0.229
kissat, 003, -005, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -005, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.009, 0.092
chuffed, 003, -006, NA, NA, 0, 0, 0.258, 0, NA, 0, 0, 0, 0.009, 0.267
kissat, 003, -006, 133, 0, 0, 0, 0.089, NA, 0, 0, 0, 0, 0.00, 0.089
or-tools, 003, -006, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.01, 0.092
chuffed, 003, -007, NA, NA, 0, 0, 0.246, 0, NA, 0, 0, 0, 0.01, 0.256
kissat, 003, -007, 133, 0, 0, 0, 0.089, NA, 0, 0, 0, 0, 0.00, 0.089
or-tools, 003, -007, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.011, 0.09699999999999999
chuffed, 003, -008, NA, NA, 0, 0, 0.27, 0, NA, 0, 0, 0, 0.023, 0.29300000000000004
kissat, 003, -008, 133, 0, 0, 0, 0.096, NA, 0, 0, 0, 0, 0.00, 0.096
or-tools, 003, -008, NA, NA, 0, 0, 0.084, 0, NA, NA, 0, 0, 0.013, 0.097
chuffed, 003, -009, NA, NA, 0, 0, 0.461, 0, NA, 0, 0, 0, 0.01, 0.47100000000000003
kissat, 003, -009, 20, 0, 0, 0, 0.12, NA, 0, 0, 0, 0, 0.00, 0.12
or-tools, 003, -009, NA, NA, 0, 0, 0.125, 0, NA, NA, 0, 0, 0.011, 0.136
chuffed, 003, -010, NA, NA, 0, 0, 0.244, 0, NA, 0, 0, 0, 0.009, 0.253
kissat, 003, -010, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -010, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.013, 0.098
chuffed, 003, -011, NA, NA, 0, 0, 0.233, 0, NA, 0, 0, 0, 0.009, 0.24200000000000002
kissat, 003, -011, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -011, NA, NA, 0, 0, 0.089, 0, NA, NA, 0, 0, 0.013, 0.102
chuffed, 003, -012, NA, NA, 0, 0, 0.23, 0, NA, 0, 0, 0, 0.01, 0.24000000000000002
kissat, 003, -012, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -012, NA, NA, 0, 0, 0.087, 0, NA, NA, 0, 0, 0.012, 0.09899999999999999
chuffed, 003, -013, NA, NA, 0, 0, 0.272, 0, NA, 0, 0, 0, 0.008, 0.28
kissat, 003, -013, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -013, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.014, 0.089
chuffed, 003, -014, NA, NA, 0, 0, 0.214, 0, NA, 0, 0, 0, 0.008, 0.222
kissat, 003, -014, 133, 0, 0, 0, 0.089, NA, 0, 0, 0, 0, 0.00, 0.089
or-tools, 003, -014, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.013, 0.094
chuffed, 003, -015, NA, NA, 0, 0, 0.256, 0, NA, 0, 0, 0, 0.009, 0.265
kissat, 003, -015, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -015, NA, NA, 0, 0, 0.076, 0, NA, NA, 0, 0, 0.013, 0.089
chuffed, 003, -016, NA, NA, 0, 0, 0.219, 0, NA, 0, 0, 0, 0.008, 0.227
kissat, 003, -016, 133, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -016, NA, NA, 0, 0, 0.079, 0, NA, NA, 0, 0, 0.015, 0.094
chuffed, 003, -017, NA, NA, 0, 0, 0.243, 0, NA, 0, 0, 0, 0.008, 0.251
kissat, 003, -017, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -017, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.01, 0.09599999999999999
chuffed, 003, -018, NA, NA, 0, 0, 0.245, 0, NA, 0, 0, 0, 0.011, 0.256
kissat, 003, -018, 127, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -018, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.014, 0.095
chuffed, 003, -019, NA, NA, 0, 0, 0.258, 0, NA, 0, 0, 0, 0.01, 0.268
kissat, 003, -019, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -019, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.009, 0.08399999999999999
chuffed, 003, -020, NA, NA, 0, 0, 0.235, 0, NA, 0, 0, 0, 0.009, 0.244
kissat, 003, -020, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -020, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.015, 0.096
chuffed, 003, -021, NA, NA, 0, 0, 0.278, 0, NA, 0, 0, 0, 0.011, 0.28900000000000003
kissat, 003, -021, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -021, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.013, 0.105
chuffed, 003, -022, NA, NA, 0, 0, 0.244, 0, NA, 0, 0, 0, 0.009, 0.253
kissat, 003, -022, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -022, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.012, 0.104
chuffed, 003, -023, NA, NA, 0, 0, 0.274, 0, NA, 0, 0, 0, 0.008, 0.28200000000000003
kissat, 003, -023, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -023, NA, NA, 0, 0, 0.088, 0, NA, NA, 0, 0, 0.013, 0.10099999999999999
chuffed, 003, -024, NA, NA, 0, 0, 0.243, 0, NA, 0, 0, 0, 0.011, 0.254
kissat, 003, -024, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -024, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.012, 0.089
chuffed, 003, -025, NA, NA, 0, 0, 0.25, 0, NA, 0, 0, 0, 0.011, 0.261
kissat, 003, -025, 133, 0, 0, 0, 0.094, NA, 0, 0, 0, 0, 0.00, 0.094
or-tools, 003, -025, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.011, 0.096
chuffed, 003, -026, NA, NA, 0, 0, 0.263, 0, NA, 0, 0, 0, 0.01, 0.273
kissat, 003, -026, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
