solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 003, -001, NA, NA, 0, 0, 0.121, 31964, NA, 34221, 0, 0, 0.998, 1.119
kissat, 003, -001, 41148, 1733, 0, 0, 0.227, NA, 0, 37582, 0, 0, 1.10, 1.3270000000000002
or-tools, 003, -001, NA, NA, 0, 0, 0.174, 1038, NA, NA, 0, 0, 0.158, 0.33199999999999996
chuffed, 003, -002, NA, NA, 0, 0, 0.119, 31774, NA, 33954, 0, 0, 0.985, 1.104
kissat, 003, -002, 40807, 1720, 0, 0, 0.227, NA, 0, 42414, 0, 0, 1.21, 1.437
or-tools, 003, -002, NA, NA, 0, 0, 0.197, 1354, NA, NA, 0, 0, 0.147, 0.344
chuffed, 003, -003, NA, NA, 0, 0, 0.119, 39461, NA, 41720, 0, 0, 1.225, 1.344
kissat, 003, -003, 39870, 1689, 0, 0, 0.238, NA, 0, 59497, 0, 0, 1.79, 2.028
or-tools, 003, -003, NA, NA, 0, 0, 0.157, 1150, NA, NA, 0, 0, 0.177, 0.33399999999999996
chuffed, 003, -004, NA, NA, 0, 0, 0.115, 20731, NA, 22039, 1, 0, 0.626, 0.741
kissat, 003, -004, 38867, 1657, 0, 0, 0.235, NA, 0, 2826, 1, 0, 0.07, 0.305
or-tools, 003, -004, NA, NA, 0, 0, 0.158, 6738, NA, NA, 1, 0, 0.526, 0.684
chuffed, 003, -005, NA, NA, 0, 0, 0.13, 23840, NA, 25144, 0, 0, 0.727, 0.857
kissat, 003, -005, 37866, 1624, 0, 0, 0.228, NA, 0, 33627, 0, 0, 0.99, 1.218
or-tools, 003, -005, NA, NA, 0, 0, 0.141, 1170, NA, NA, 0, 0, 0.099, 0.24
chuffed, 003, -006, NA, NA, 0, 0, 0.128, 16699, NA, 17615, 0, 0, 0.432, 0.56
kissat, 003, -006, 36819, 1590, 0, 0, 0.233, NA, 0, 23921, 0, 0, 0.66, 0.893
or-tools, 003, -006, NA, NA, 0, 0, 0.136, 1172, NA, NA, 0, 0, 0.102, 0.238
chuffed, 003, -007, NA, NA, 0, 0, 0.115, 4239, NA, 4471, 0, 0, 0.097, 0.21200000000000002
kissat, 003, -007, 34517, 1551, 0, 0, 0.223, NA, 0, 7401, 0, 0, 0.18, 0.403
or-tools, 003, -007, NA, NA, 0, 0, 0.148, 1570, NA, NA, 0, 0, 0.108, 0.256
chuffed, 003, -008, NA, NA, 0, 0, 0.126, 3154, NA, 3306, 0, 0, 0.065, 0.191
kissat, 003, -008, 31322, 1505, 0, 0, 0.22, NA, 0, 6780, 0, 0, 0.15, 0.37
or-tools, 003, -008, NA, NA, 0, 0, 0.148, 1504, NA, NA, 0, 0, 0.112, 0.26
chuffed, 003, -009, NA, NA, 0, 0, 0.119, 0, NA, 0, 0, 0, 0.004, 0.123
